2008	Electrical Engineering and Information Technology	EEIT	1
2009	Business Information Systems	BIS	3
2009	Computational Engineering	COMPENG	3
2009	Sustainable Urban Development	SUD	3
2010	Mechatronics and Sensor systems Technology	MSST	3
2011	Finance and Accounting	FA	1
2012	Master of Business Administration	MBA	3
2012	Traffic and Transportation	TAT	3
2013	Computer Science	CS	1
2013	Global Producion Engineering and  Management	GPEM	3
2014	Mechanical Engineering	ME	1
2016	Business Administration	BA	1